"itemCode","itemValue"
"A000","Cholera due to Vibrio cholerae 01, biovar cholerae"
"A001","Cholera due to Vibrio cholerae 01, biovar eltor"
"A009","Cholera, unspecified"
"A010","Typhoid fever"
"A011","Paratyphoid fever A"
"A012","Paratyphoid fever B"
"A013","Paratyphoid fever C"
"A014","Paratyphoid fever, unspecified"
"A020","Salmonella enteritis"
"A021","Salmonella sepsis"
"A022","Localized salmonella infections"
"A028","Other specified salmonella infections"
"A029","Salmonella infection, unspecified"
"A030","Shigellosis due to Shigella dysenteriae"
"A031","Shigellosis due to Shigella flexneri"
"A032","Shigellosis due to Shigella boydii"
"A033","Shigellosis due to Shigella sonnei"
"A038","Other shigellosis"
"A039","Shigellosis, unspecified"
"A040","Enteropathogenic Escherichia coli infection"
"A041","Enterotoxigenic Escherichia coli infection"
"A042","Enteroinvasive Escherichia coli infection"
"A043","Enterohaemorrhagic Escherichia coli infection"
"A044","Other intestinal Escherichia coli infections"
"A045","Campylobacter enteritis"
"A046","Enteritis due to Yersinia enterocolitica"
"A047","Enterocolitis due to Clostridium difficile"
"A048","Other specified bacterial intestinal infections"
"A049","Bacterial intestinal infection, unspecified"
"A050","Food-borne staphylococcal intoxication"
"A051","Botulism"
"A052","Food-borne Clostridium perfringens [Clostridium welchii] intoxication"
"A053","Food-borne Vibrio parahaemolyticus intoxication"
"A054","Food-borne Bacillus cereus intoxication"
"A058","Other specified bacterial food-borne intoxications"
"A059","Bacterial food-borne intoxication, unspecified"
"A060","Acute amoebic dysentery"
"A061","Chronic intestinal amoebiasis"
"A062","Amoebic nondysenteric colitis"
"A063","Amoeboma of intestine"
"A064","Amoebic liver abscess"
"A065","Amoebic lung abscess (J99.8*)"
"A066","Amoebic brain abscess (G07*)"
"A067","Cutaneous amoebiasis"
"A068","Amoebic infection of other sites"
"A069","Amoebiasis, unspecified"
"A070","Balantidiasis"
"A071","Giardiasis [lambliasis]"
"A072","Cryptosporidiosis"
"A073","Isosporiasis"
"A078","Other specified protozoal intestinal diseases"
"A079","Protozoal intestinal disease, unspecified"
"A080","Rotaviral enteritis"
"A081","Acute gastroenteropathy due to Norwalk agent"
"A082","Adenoviral enteritis"
"A083","Other viral enteritis"
"A084","Viral intestinal infection, unspecified"
"A085","Other specified intestinal infections"
"A09","Diarrhoea and gastroenteritis of presumed infectious origin"
"A090","Other and unspecified gastroenteritis and colitis of infectious origin"
"A099","Gastroenteritis and colitis of unspecified origin"
"A150","Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
"A151","Tuberculosis of lung, confirmed by culture only"
